"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18526","Login sukses dengan username dan password sesuai","","2025-12-24","passed","2025-12-24","","login pada sauce demo","login pada sauce demo","Login sukses dengan username dan password sesuai"
"","6801","Navigasi ke Halaman Kegiatan","","2025-12-29","passed","2025-12-29","","Pengujian Halaman Kegiatan Aku Laku Finance","Pengujian Halaman Kegiatan Aku Laku Finance","Navigasi ke Halaman Kegiatan"
"","12082","Melihat Detail Produk di Sauce Demo","","2025-12-24","passed","2025-12-24","","Cek Detail Products","Cek Detail Products","Melihat Detail Produk di Sauce Demo"
"","42256","Membuka Halaman Utama dan Verifikasi Web Berhasil Terbuka","","2025-12-29","passed","2025-12-29","","Pengujian Halaman Kegiatan Aku Laku Finance","Pengujian Halaman Kegiatan Aku Laku Finance","Membuka Halaman Utama dan Verifikasi Web Berhasil Terbuka"
"","3050","Verifikasi List Jumlah Thumbnails Video di Halaman Kegiatan","","2025-12-29","passed","2025-12-29","","Pengujian Halaman Kegiatan Aku Laku Finance","Pengujian Halaman Kegiatan Aku Laku Finance","Verifikasi List Jumlah Thumbnails Video di Halaman Kegiatan"
"","8573","Add all Cart Product","","2025-12-24","failed","2025-12-24","","Cek Detail Products","Cek Detail Products","Add all Cart Product"
"","7891","Proses E2E dengan Metode POM Sauce Demo","","2025-12-23","passed","2025-12-23","","Proses E2E Sauce Demo dengan POM","Proses E2E Sauce Demo dengan POM","Proses E2E dengan Metode POM Sauce Demo"
"","16202","Input type Vaksin pada search bar","","2025-12-29","passed","2025-12-29","","Pengujian Halaman Kegiatan Aku Laku Finance","Pengujian Halaman Kegiatan Aku Laku Finance","Input type Vaksin pada search bar"
"","842","An uncaught error was detected outside of a test","","2025-12-24","broken","2025-12-24","","","","An uncaught error was detected outside of a test"
"","3411","Cek Pagination pada Halaman Kegiatan tersedia","","2025-12-29","passed","2025-12-29","","Pengujian Halaman Kegiatan Aku Laku Finance","Pengujian Halaman Kegiatan Aku Laku Finance","Cek Pagination pada Halaman Kegiatan tersedia"
"","9450","Verify untuk klik semua item add cart di sauce demo","","2025-12-24","passed","2025-12-24","","Cek Fungsi Button Add Cart Produk","Cek Fungsi Button Add Cart Produk","Verify untuk klik semua item add cart di sauce demo"
